Date/Time,Temp,App,Dew,Rel,Delta-T,Wind,,,,,Press,Press,Rain since
EST,°C,Temp,Point,Hum,°C,,,,,,QNH,MSL,9am
,,°C,°C,%,,Dir ,Spd,Gust,Spd,Gust,hPa,hPa,mm
,,,,,,,km/h,km/h,kts,kts,,,
16/11:30pm,13,6.4,4.2,55,4,W,28,-,15,-,1020.6,1020.6,0
16/11:00pm,13.3,6.6,3.7,52,4.3,W,28,-,15,-,1020.7,1020.7,0
16/10:30pm,13.6,6.9,3.4,50,4.6,W,28,-,15,-,1020.5,1020.5,0
16/10:00pm,13.7,7.2,2.6,47,4.9,W,26,-,14,-,1020.8,1020.8,0
16/09:30pm,13.8,6.1,3.3,49,4.7,W,33,-,18,-,1020.5,1020.5,0
16/09:00pm,14.1,8.5,3.3,48,4.8,W,22,-,12,-,1021,1021,0
16/08:30pm,14.4,7,3.8,49,4.8,W,32,-,17,-,1020.7,1020.7,0
16/08:00pm,14.7,7.2,3.5,47,5.1,W,32,-,17,-,1020.7,1020.7,0
16/07:30pm,15.1,6.7,3.6,46,5.3,W,37,-,20,-,1020.4,1020.4,0
16/07:00pm,15.8,8.6,2.9,42,5.8,W,30,-,16,-,1020.5,1020.5,0
16/06:30pm,16.8,11.5,2.8,39,6.4,SSW,20,-,11,-,1019.6,1019.6,0
16/06:00pm,17.7,11.2,2.8,37,6.8,W,26,-,14,-,1018.7,1018.7,0
16/05:30pm,18.3,12.8,1.8,33,7.5,WSW,20,-,11,-,1018,1018,0
16/05:00pm,19.4,14.4,1.4,30,8.1,SW,17,-,9,-,1017.6,1017.6,0
16/04:30pm,20.2,15.8,0.1,26,8.9,SW,13,-,7,-,1017.3,1017.3,0
16/04:00pm,21.3,17.2,-0.1,24,9.5,WSW,11,-,6,-,1017.1,1017.1,0
16/03:30pm,22.6,16.5,0.4,23,10.1,W,22,-,12,-,1016.8,1016.8,0
16/03:00pm,22.9,18.9,2.9,27,9.6,WNW,13,-,7,-,1016.9,1016.9,0
16/02:30pm,22.7,19.2,3.3,28,9.4,NW,11,-,6,-,1016.9,1016.9,0
16/02:00pm,22.6,19,2.7,27,9.5,WNW,11,-,6,-,1017,1017,0
16/01:30pm,22.3,17.9,2.9,28,9.3,WNW,15,-,8,-,1017.3,1017.3,0
16/01:00pm,21,15.8,2.3,29,8.7,NW,19,-,10,-,1017.6,1017.6,0
16/12:30pm,20.8,16.6,1.6,28,8.8,WNW,13,-,7,-,1018.1,1018.1,0
16/12:00pm,20.3,16.6,2.6,31,8.2,WNW,11,-,6,-,1018.7,1018.7,0
16/11:30am,19.6,15.5,2.5,32,7.9,WNW,13,-,7,-,1019.3,1019.3,0
16/11:00am,18.6,14,1.6,32,7.7,WNW,15,-,8,-,1019.7,1019.7,0
16/10:30am,18.2,14,1.7,33,7.4,WNW,13,-,7,-,1020.2,1020.2,0
16/10:00am,17.3,14.3,2.1,36,6.8,WNW,7,-,4,-,1020.5,1020.5,0
16/09:30am,16,12.9,3.8,44,5.6,NW,9,-,5,-,1020.9,1020.9,0
16/09:00am,13.5,11,3.6,51,4.5,W,6,-,3,-,1020.9,1020.9,0
16/08:30am,12.3,9.2,3.8,56,3.8,W,9,-,5,-,1020.9,1020.9,0
16/08:00am,11.2,8.5,3.5,59,3.4,W,7,-,4,-,1020.9,1020.9,0
16/07:30am,10.4,7.6,3.2,61,3.1,WNW,7,-,4,-,1021,1021,0
16/07:00am,10.4,7.7,2.7,59,3.3,NW,6,-,3,-,1021,1021,0
16/06:30am,10.5,7.7,3.3,61,3.1,NNW,7,-,4,-,1020.9,1020.9,0
16/06:00am,10.6,8.3,2.7,58,3.4,W,4,-,2,-,1020.6,1020.6,0
16/05:30am,10.1,7.5,3.2,62,3,W,6,-,3,-,1020.4,1020.4,0
16/05:00am,10.5,7.7,3.3,61,3.1,W,7,-,4,-,1020.4,1020.4,0
16/04:30am,10.6,7,2.9,59,3.3,W,11,-,6,-,1020.6,1020.6,0
16/04:00am,10.9,7.7,3,58,3.4,W,9,-,5,-,1020.7,1020.7,0
16/03:30am,10.5,7,3.5,62,3.1,W,11,-,6,-,1020.6,1020.6,0
16/03:00am,10.7,6.7,3,59,3.3,W,13,-,7,-,1021,1021,0
16/02:30am,11.2,6.4,2.8,56,3.6,WNW,17,-,9,-,1021.2,1021.2,0
16/02:00am,11.4,7.1,3.2,57,3.6,W,15,-,8,-,1021.6,1021.6,0
16/01:30am,11.6,7.6,3.1,56,3.7,WNW,13,-,7,-,1021.8,1021.8,0
16/01:00am,11.7,8.6,3.7,58,3.5,W,9,-,5,-,1022,1022,0
16/12:30am,12.1,9.2,4.8,61,3.3,NW,9,-,5,-,1021.9,1021.9,0
16/12:00am,11.4,8.4,4.2,61,3.2,WNW,9,-,5,-,1022.8,1022.8,0
